物件,所在地,価格,面積,坪単価,種別,権利,再建築可否,接道,安い理由,主なリスク,初心者リスク判定,検討可否,学習ポイント,必要な専門家確認,使い道仮説,出口戦略,撤退条件,URL
"再建築不可 中古戸建（実データ・2026-06-16時点）","江戸川区鹿骨2","980万円","土地43.32㎡/建物54.52㎡","約75万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","2m未満の可能性大","再建築不可で建替え不可・改修のみ","建物滅失で再建不可/融資困難/出口狭い","D","学習用として保留","再建築不可の最典型。なぜ激安かを接道から逆算する","建築士(再建築可否・改修可否)/不動産業者(出口)","現状改修してアトリエ・賃貸","現金買主への売却のみ","接道2m確保不可と確定したら撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","足立区谷中3","1500万円","土地55.84㎡/建物55.62㎡","約89万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","要確認","再建築不可","融資困難/出口狭い/建物老朽","D","学習用として保留","外周区の再建築不可の相場感を掴む","建築士/不動産業者","DIY可能なアトリエ・倉庫","現金買主への売却","接道・私道持分が不明なら撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","板橋区東山町","1980万円","土地130.1㎡/建物105.09㎡","約50万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","要確認","再建築不可だが面積が広く坪単価が割安","再建築不可/隣地買収しないと活用限定","C","専門家確認後に再判断","面積が大きい再建築不可は隣地交渉で化ける可能性を学ぶ","建築士/土地家屋調査士/不動産業者","改修して住居兼アトリエ/隣地と一体化","隣地買収で接道改善できれば出口拡大","隣地交渉の余地ゼロかつ改修不経済なら撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","墨田区京島1","1980万円","土地42.33㎡/建物42.33㎡","約155万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","路地状・狭隘道路の可能性","木造密集地域の再建築不可","防火・延焼リスク/再建不可/狭小","D","学習用として保留","木密地域(京島)の再建築不可と防火規制を学ぶ","建築士/行政建築指導課","長屋的小店舗・ギャラリー","賃貸（現状）","防火・避難条件を満たせないと撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","中野区東中野4","2180万円","土地52.02㎡/建物52.88㎡","約139万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","要確認","駅近だが再建築不可","再建築不可/融資困難","C","専門家確認後に再判断","好立地×再建築不可の価格バランスを学ぶ","建築士/不動産業者/金融機関","小店舗・アトリエ（改修）","賃貸需要あり/現金売却","現金以外で資金計画が立たなければ撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","杉並区阿佐谷北4","2380万円","土地54.06㎡/建物66.91㎡","約145万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","再建築不可","再建築不可/改修費","C","要追加調査","人気エリアの再建築不可。改修費を入れた総額で判断する練習","建築士/工務店/不動産業者","ギャラリー兼住居","自己利用＋賃貸","改修費込みで割安性が消えたら撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","荒川区東日暮里6","2580万円","土地71.43㎡/建物78.66㎡","約119万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","再建築不可だが面積広め","再建築不可/接道不明","C","専門家確認後に再判断","面積のある再建築不可の活用余地を学ぶ","建築士/土地家屋調査士","住居兼作業場","改修後賃貸/現金売却","接道改善余地がなく改修も不経済なら撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","新宿区新宿7","2780万円","土地31.04㎡/建物37.3㎡","約296万円/坪","中古戸建（再建築不可・狭小）","所有権","不可（要確認）","都心・駅近だが狭小かつ再建築不可","狭小/再建築不可/設計自由度低","D","学習用として保留","都心狭小×再建築不可。坪単価は高いが総額は出せる構造を学ぶ","建築士/不動産業者","極小店舗・スタンド・ギャラリー","賃貸（立地良）","狭小で用途が成立しないと撤退","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"再建築不可 中古戸建（実データ）","世田谷区世田谷1","4180万円","土地45.7㎡/建物81.58㎡","約303万円/坪","中古戸建（再建築不可）","所有権","不可（要確認）","人気区の再建築不可","再建築不可/価格は安くない","C","要追加調査","ブランド立地だと再建築不可でも価格が下がりきらないことを学ぶ","建築士/不動産業者","住居兼アトリエ","自己利用","立地プレミアム込みで割安性なしなら見送り","https://suumo.jp/b/kodate/kw/東京２３区　再建築不可　中古　戸建て/"
"旧法借地権 戸建（実データ）","荒川区（4丁目）","4280万円","土地・建物（要確認）","要確認","中古戸建（借地権）","旧法借地権","可（借地・要地主承諾）","要確認","土地を所有せず借地のため割安","地代・更新料・譲渡承諾料/融資困難","C","専門家確認後に再判断","借地権の費用構造（地代・各種承諾料）を実例で学ぶ","司法書士/不動産業者/金融機関","住居兼小店舗","借地権譲渡（地主承諾要）","借地条件が不明なまま申込は撤退","https://suumo.jp/b/kodate/kw/旧法　借地権　中古　戸建　２３区/"
"古家付き土地（参考・要セットバック典型）","板橋区・北区・練馬区 想定","1800〜2500万円","土地50〜80㎡","参考","古家付き土地","所有権","可（要セットバック）","2項道路・要後退","古家価値ゼロ＋セットバックで有効面積減","解体費/有効宅地減/インフラ更新","B","要追加調査","セットバックで土地がどれだけ削られるかを計算する練習","建築士/土地家屋調査士/解体業者","小規模新築（店舗併用）","新築後 自己利用/賃貸/売却","後退後の建築ボリュームが用途に足りなければ撤退","ARCHETYPE（実在URLなし。watchlist.mdで定点観測）"
"競売 戸建（参考・BIT想定）","東京23区 東京地裁管轄 想定","売却基準価額1000〜3000万円","土地40〜70㎡","参考","競売戸建","所有権が多い","個別（三点セットで確認）","三点セットで確認","裁判所競売・占有等のリスク織込み","占有者/内覧不可/明渡し/現金決済","E","学習用として保留","三点セットの読み方・占有者リスク・買受可能価額(基準価額×0.8)を学ぶ","競売に強い不動産業者/弁護士/司法書士","ケースによる","落札後リフォーム→賃貸/売却","占有者あり・内覧不可・建物不明なら学習止まり","ARCHETYPE（BITで実物を定点観測）"
"公売 土地（参考・KSI/主税局想定）","東京23区 想定","見積価額数百〜2000万円","11〜50㎡の狭小地が多い","参考","公売（土地・持分等）","所有権/持分/借地など様々","個別","個別","税滞納差押えの公売・情報限定","情報限定/権利複雑/現況差異","E","学習用として保留","公売と競売の違い・なぜこの見積価額かを学ぶ","司法書士/不動産業者","近隣所有者向け一体利用","限定的","権利関係が素人に理解不能なら学習止まり","ARCHETYPE（KSI官公庁オークション等で定点観測）"
"共有持分のみ（参考・原則回避の教材）","東京23区 想定","数百万円〜","持分のみ","参考","共有持分","共有持分のみ","—","—","単独利用・単独売却ができないため激安","分割請求/他共有者と紛争/出口ほぼなし","E","見送り","共有持分は『揉める権利』であって不動産ではないことを学ぶ","弁護士/司法書士","原則なし（買い増し統合できる人のみ）","他共有者への売戻し/分割請求","単独所有に統合する具体策がなければ手を出さない","ARCHETYPE（学習用サンプル）"
"底地のみ（参考・原則回避の教材）","東京23区 想定","収益還元次第","—","参考","底地","底地（所有権だが借地人あり）","—","—","収益が低い地代のみで流動性が低い","借地人との関係/低利回り/出口狭い","E","見送り","底地と借地は表裏一体。地代・更新・買取交渉を学ぶ","不動産業者(底地専門)/司法書士","借地人への売却/借地権との一体化","借地人へ売却 or 借地権買取で完全所有権化","借地人との交渉余地がなければ手を出さない","ARCHETYPE（サンセイランディック等の事例で学習）"
